Datetime,Tweet Id,Text,Username,Like Count,Reply Count,Retweet Count,Country
2021-03-07 17:27:28+00:00,1368614287757950985,"The sound of enthusiastic applause returned to Beit HaNasi this evening for the first time since the outbreak of #coronavirus, marking #InternationalWomensDay with @HabimaTheatre and Haifa Theater's tribute to women in theater: ""Women Create Israeli Theater""
The show must go on! https://t.co/3rNOdqzTnM",PresidentRuvi,40,3,15,Israel
2021-03-04 12:22:27+00:00,1367450364862169089,"With Dor, Carmel and Khouloud at a Tel-Aviv Yafo youth center, who told me about the tough socio-economic impact of #coronavirus. 
I believe in our young people and we must not lose them. We must grow together out of this crisis and rebuild our economy in the digital, global era. https://t.co/TcE9FbiLLN",PresidentRuvi,38,3,8,Israel
2021-02-17 12:13:25+00:00,1362012271317307395,"The prospect of snow didn't stop us going out to support the medical teams today at Jerusalem's @herzog_hospital, working round the clock with elderly patients and the young on respiratory support to fight #coronavirus.
It is our shared duty to protect and care for our elderly. https://t.co/YM534FabBt",PresidentRuvi,38,1,8,Israel
2021-02-14 09:34:53+00:00,1360885212838772741,A working meeting with Pres. @AnastasiadesCY of #Cyprus. I welcome the recent agreement on flights and tourism between our countries and call on others to adopt 'Green Passes'. #Coronavirus has shown us that today's challenges know no borders. We must work together to meet them. https://t.co/KwSGkeZSOL,PresidentRuvi,108,5,27,Israel
2021-02-11 12:28:15+00:00,1359841679965102082,"Receiving the Unity Scroll of the Social Forum today, Rav Grossman's initiative aimed at healing the rifts in Israeli society, particularly with #coronavirus. 
Unity and mutual responsibility - our Jewish and democratic 'togetherness' - are key to getting through this challenge. https://t.co/NiEN519Tp3",PresidentRuvi,34,3,11,Israel
2021-02-04 11:37:11+00:00,1357292113071927297,"Thank you to the medical teams, from the bottom of my heart, from me and all Israelis. Thank you for your boundless dedication in fighting the pandemic. You're the best! https://t.co/1SC810r0v7",PresidentRuvi,31,3,9,Israel
2021-02-04 11:37:09+00:00,1357292104670720000,"Visiting Shamir Medical Center today in support of the medical teams dealing with #coronavirus.
The innovative breath test I tried gives an immediate corona diagnosis and could replace the swab test, and the hyperbaric chamber does wonders for those with respiratory difficulties https://t.co/4eqTbjyFYM",PresidentRuvi,86,6,37,Israel
2021-01-31 09:19:57+00:00,1355808025450336258,"Receiving the Children in Israel report from the National Council for the Child, with worrying data on #coronavirus and our children.
We citizens must say: after the elections our elected officials must ensure a good present and a better future for our children. All our children https://t.co/avjMOt5j98",PresidentRuvi,45,5,6,Israel
2021-01-28 10:11:44+00:00,1354733893883146240,"Visiting new mothers today, I spoke with Ilana and her beautiful baby Lia on the corona ward at Ichilov Medical Center. I heard about the huge difficulties of giving birth during the pandemic and the wonderful support of the medical teams. Mazal tov, dear Ilana! https://t.co/IIBifAKLID",PresidentRuvi,63,2,7,Israel
2021-01-18 10:17:33+00:00,1351111479441977345,"Meeting today with heads of Israel's hospitals and hearing their difficulties, which are our difficulties. 
We cannot allow our public hospitals to collapse. We cannot allow #coronavirus to defeat our hospitals, We cannot beat it without them. https://t.co/9f9qyDdPU8",PresidentRuvi,78,6,17,Israel
2021-01-12 11:58:07+00:00,1348962459193925632,"Saluting special education, the teachers, therapists and all those who continue to envelop our special children with love during these difficult days of #coronavirus. Visiting @BeitIssie today, and sending my thanks and blessings to you all, across the country. https://t.co/3H0hMf0RQ1",PresidentRuvi,75,4,15,Israel
2021-01-07 16:12:00+00:00,1347214411350597633,"There will be better days. We have gone through bad times in the past and overcome them. The effect of the vaccine is close at hand. We will return to normality. Until then, be patient and disciplined and do everything to minimize infection.

https://t.co/jLLOFdjTVl",PresidentRuvi,52,8,22,Israel
2021-01-07 15:07:18+00:00,1347198130333351937,"Just before the lockdown, today we distributed the 5000th computer through Mitchashvim to school kids from all parts of Israeli society.

 We will continue to close the digital gap together with our many partners in this important initiative, making sure no child is left behind. https://t.co/P5V7EIqHHi",PresidentRuvi,66,2,18,Israel
2021-01-07 12:50:19+00:00,1347163656883220480,"There will be better days. We have gone through bad times in the past and overcome them. The effect of the vaccine is close at hand, and we will return to normality. Until then, we must be patient and disciplined, and do everything we can to minimize infection.",PresidentRuvi,21,2,3,Israel
2021-01-07 12:50:19+00:00,1347163654718894083,"Do your duty. The lockdown, with all its restrictions as decided by the government, applies to us all. We are going into lockdown to protect our children. We, all of us and without exceptions, must follow its rules.

https://t.co/3sLPRjIgy9",PresidentRuvi,37,6,11,Israel
2020-12-30 13:26:04+00:00,1344273552044908546,"Meeting the wonderful healthcare workers at the Maccabi vaccination center today in Jerusalem. Two weeks into this huge operation, it was very exciting to see thousands of people getting the vaccine every hour. At this pace, we can turn the corner and start to get back to normal. https://t.co/hk9lvaOgPw",PresidentRuvi,78,6,16,Israel
2020-12-20 10:26:04+00:00,1340604372770840577,"I got the corona vaccine. Dear Israelis, go and get vaccinated too. https://t.co/yhRny4ynMN",PresidentRuvi,901,23,114,Israel
2020-12-14 13:38:35+00:00,1338478492657328129,"Speaking to @Pontifex ahead of Christmas in the shadow of #coronavirus. We have a moral obligation to ensure that all countries receive the vaccine and to follow instructions, even at the expense of our holiday celebrations. Wishing all Christian communities a Merry Christmas! https://t.co/nxJpNFmN4q",PresidentRuvi,77,5,14,Israel
2020-12-10 09:13:14+00:00,1336962165081829377,"Working meeting with FM @AranchaGlezLaya of #Spain, during which we talked about #coronavirus that we are all dealing with. 
I sent my support to the Spanish people affected by the disease and my hopes that we will soon get through this difficult time. https://t.co/ap0BfKwc5E",PresidentRuvi,64,4,12,Israel
2020-12-08 14:53:55+00:00,1336323126599188487,"Boots polished and uniforms pressed, six winners of the President's Award for 2020 who did not come to the ceremony earlier in the year because of #coronavirus visited today. 
Lt. Benjamin, Lt. Ambao, 1Sgt. Yedidia, 1Sgt. A, Sgt. Shira, Sgt. Inbar, we are proud of you!
@idfonline https://t.co/CSHW5GDIzX",PresidentRuvi,31,1,4,Israel
2020-12-07 19:01:47+00:00,1336023117110636544,"I was happy to hear that the first doses of vaccine are expected to arrive in #Israel in the next few days. 

I'm ready, of course.",PresidentRuvi,394,14,38,Israel
2020-11-22 13:31:46+00:00,1330504247226609666,"For nearly a year, we have been living only in the present. The global pandemic has created a health, social and economic crisis across the world, and here in Israel.",PresidentRuvi,4,1,1,Israel
2020-11-18 10:55:39+00:00,1329015408125415424,"Meeting heads of the Christian denominations in Israel with COGAT ahead of #Christmas. With #coronavirus, I asked the church leaders to stress the importance of following the guidelines to their communities, and wished them an early Happy Christmas https://t.co/0k7yVQ4q8l",PresidentRuvi,70,2,16,Israel
2020-11-09 15:18:29+00:00,1325820058090795011,"The virus of antisemitism, racism and xenophobia is tougher than coronavirus. It changes shape, takes cover and threatens to break out through any crack. But there can and there must be a vaccine for it, too.",PresidentRuvi,34,3,8,Israel
2020-11-05 11:49:16+00:00,1324317856562110464,"I was glad to hear that the infection rate is falling, but there are also warning lights. We need a large number of tests to halt the spread of the disease. My fellow Israelis - please do not ignore it. Go and get tested. https://t.co/ft4n01hvxj",PresidentRuvi,36,0,9,Israel
2020-11-05 11:49:14+00:00,1324317850354520064,"The first stage in @IDF's operation to deal with #coronavirus patients at Rambam hospital has ended, and I went to show my appreciation to the medical and support teams. I heard from the patients about the wonderful care they received. https://t.co/qjuF2WpyuG",PresidentRuvi,56,1,12,Israel
2020-11-04 13:27:36+00:00,1323980216461656067,"Even when it's raining and under the #coronavirus restrictions, it was an honor to receive credentials today from the new ambassadors of #Belgium, #Uzbekistan, #Sweden, #Norway and #Latvia to #Israel. To many more years of friendship between our countries and peoples 🇧🇪🇺🇿🇸🇪🇳🇴🇱🇻🇮🇱 https://t.co/qu6fowSBvW",PresidentRuvi,101,5,17,Israel
2020-11-03 14:17:26+00:00,1323630370131202060,"I also visited the Sion Medical factory, a leading global brand for masks and protective equipment. Great pride for Israel. 
Wearing a mask is vital - and if we can support local industry at the same time, even better. https://t.co/a803JdQKS9",PresidentRuvi,19,1,2,Israel
2020-11-03 14:17:23+00:00,1323630355929288706,Visiting Sderot today to hear how they have successfully contained the coronavirus pandemic led by mayor @AlonDavidi. The impressive control room he opened gives personal service to each one of the residents. https://t.co/eAk2wvwHLG,PresidentRuvi,39,4,6,Israel
2020-10-29 15:59:43+00:00,1321844171733405697,"A working meeting with Italian FM @luigidimaio 
I sent our prayers to all Italians and to the country's Jewish community, which have been hit hard by #coronavirus. We will continue to cultivate the good relations between our countries and work together to beat the pandemic. https://t.co/cC5KBAB6qa",PresidentRuvi,59,4,14,Israel
2020-10-15 09:28:08+00:00,1316672194190114818,"Keep your distance, wear a mask and wash hands. #GlobalHandwashingDay2020 is a great reminder of the simple steps we all need to take to keep ouselves and each other safe and to beat #COVID19 https://t.co/R96dyAIvjb",PresidentRuvi,106,18,32,Israel
2020-10-08 09:40:03+00:00,1314138479098503168,"Beit HaNasi is joining @zakaHQ's ""Don't Leave Them Behind"" project. We will call elderly people living on their own to see how they are doing. 
#coronavirus and #loneliness are two deadly diseases, and fighting one of them cannot mean that we neglect those who are alone. https://t.co/niK1dPLzcu",PresidentRuvi,47,14,15,Israel
2020-09-30 14:04:29+00:00,1311305921973366790,"Signing the first pardon of the special process we launched during #coronavirus.
A mounting debt owed by a single mother, a victim of domestic violence who got out of sex work, was forgiven.
We will continue to do all we can for those who need #help in these tough times. https://t.co/F17jQ0DkhB",PresidentRuvi,44,1,8,Israel
