Datetime,Tweet Id,Text,Username,Like Count,Reply Count,Country
2021-03-30 18:02:17+00:00,1376957969540251651,"May God continue to bless South Africa and protect her people.

",CyrilRamaphosa,175,50,South Africa
2021-03-30 18:02:10+00:00,1376957942738616321,"We all have a role in this great national effort to end COVID-19. Let us play our part. At this time, when the Easter message of hope, rebirth and renewal finds expression in the lives of so many of us, let us please take care.

",CyrilRamaphosa,52,13,South Africa
2021-03-30 18:00:48+00:00,1376957598419804162,"Let us remain at home or in small groups. Let us avoid being in large crowds and places with poor ventilation. Let us not go to funerals unless we are immediate family and not visit the homes of the bereaved.

",CyrilRamaphosa,80,20,South Africa
2021-03-30 18:00:23+00:00,1376957492119412746,"Any action that puts ourselves or others at risk must be avoided.
The restrictions that are in place for our collective health and safety must be observed.
Let us be a responsible nation that is forever aware of the presence of the virus.

",CyrilRamaphosa,39,15,South Africa
2021-03-30 17:56:51+00:00,1376956605300883459,"We know that wearing a mask in public at all times, regularly washing or sanitising our hands, observing social distancing and avoiding crowds are still the most effective way of keeping the virus at bay.

",CyrilRamaphosa,66,32,South Africa
2021-03-30 17:56:46+00:00,1376956584006418432,"We do not know when the coronavirus pandemic will be behind us, but we all know what must be done.

",CyrilRamaphosa,53,10,South Africa
2021-03-30 17:56:29+00:00,1376956510325071873,"Fellow South Africans,
 
This pandemic is still very much with us.
 
We must act with caution, not just this coming weekend but in the days, weeks and months ahead.

",CyrilRamaphosa,42,4,South Africa
2021-03-30 17:56:07+00:00,1376956420692774912,"We continue to follow the principle that restrictions should not be more severe than is necessary to contain the spread of the virus.
 
We continue to be guided by data on the epidemiological situation and by expert advice and wide consultations with social partners.",CyrilRamaphosa,85,10,South Africa
2021-03-30 17:55:58+00:00,1376956380247175172,We will review these measures on the size of gatherings within the next 15 days based on an assessment on the state of the pandemic and the extent of compliance with health protocols.,CyrilRamaphosa,63,5,South Africa
2021-03-30 17:55:46+00:00,1376956329701564416,"We continue to urge all South Africans to avoid gatherings if they are in a vulnerable group, such as the elderly and those with co-morbidities.
 
We also urge that gatherings should take place in outdoor venues, which are significantly safer than gathering indoors.",CyrilRamaphosa,55,6,South Africa
2021-03-30 17:55:36+00:00,1376956290468093958,"As before, where the venue is too small to accommodate these numbers with appropriate social distancing, then no more than 50 per cent of the capacity of the venue may be used.",CyrilRamaphosa,27,0,South Africa
2021-03-30 17:55:35+00:00,1376956286248583169,"There is a common appreciation that we must do all we can to support our people to exercise their religious freedom and keep our country safe.
 
With respect to other gatherings, these will also be restricted to a maximum number of 250 people indoors and 500 outdoors.",CyrilRamaphosa,41,6,South Africa
2021-03-30 17:55:05+00:00,1376956156879503363,"Congregants should not gather outside their usual places of worship, and people must go home and not sleep over after services.
 
I want to express my gratitude to the leadership of the faith community who have engaged positively with us as government.",CyrilRamaphosa,33,3,South Africa
2021-03-30 17:55:03+00:00,1376956150625804288,"Where the venue is too small to accommodate these numbers with appropriate social distancing, then no more than 50 per cent of the capacity of the venue may be used.",CyrilRamaphosa,27,1,South Africa
2021-03-30 17:55:02+00:00,1376956146213392387,"Following this consultation, it has been determined that religious gatherings over this period will be restricted to a total number of 250 people indoors and 500 outdoors.",CyrilRamaphosa,132,21,South Africa
2021-03-30 17:54:15+00:00,1376955947508191232,"In recent weeks, we have held consultations with faith communities to find mutually beneficial solutions to the challenges of managing large crowds at religious services.",CyrilRamaphosa,38,3,South Africa
2021-03-30 17:54:00+00:00,1376955887001219072,"The Jewish community is currently celebrating Passover, and the Muslim community will soon be starting the Holy month of Ramadan.",CyrilRamaphosa,71,4,South Africa
2021-03-30 17:53:47+00:00,1376955830801723396,"Fellow South Africans,
 
The Easter weekend is a time of spiritual significance, and attending religious services is important to millions of people.
 
For Christians, congregational worship is an important part of celebrating Easter.",CyrilRamaphosa,47,9,South Africa
2021-03-30 17:53:10+00:00,1376955676493234177,"On-site sales at restaurants, shebeens and bars will be allowed, according to licensing conditions, up until 23:00.",CyrilRamaphosa,60,5,South Africa
2021-03-30 17:53:09+00:00,1376955670403121153,"However, given the role of #alcohol in fuelling reckless behaviour, we will put in place some restrictions over the Easter weekend.
 
To this end, the sale of alcohol for off-site consumption will be prohibited this coming Friday, Saturday, Sunday and Monday.",CyrilRamaphosa,63,6,South Africa
