Datetime,Tweet Id,Text,Username,Like Count,Reply Count,Country
2021-03-31 08:13:33+00:00,1377172199782539264,"The political crisis that is shaking us is harming and weakening our democracy to a certain extent, but it will not beat us. We are stronger than it. Israeli society is stronger than it. ",PresidentRuvi,21,3,Israel
2021-03-31 08:13:31+00:00,1377172191507140608,"Receiving the election results today. 

I truly hope that the elected officials, representatives of the public, are able to hear the Israeli people's call for out-of-the-ordinary coalitions, collaborations across sectors, working for the good of all of Israel’s citizens. ",PresidentRuvi,70,8,Israel
2021-03-26 12:01:09+00:00,1375417536381075458,Chag #Pesach Sameach to you all! ,PresidentRuvi,224,20,Israel
2021-03-24 11:30:06+00:00,1374684946057592835,"Following the tradition, I was honored to sell Beit HaNasi's chametz with the assistance of Sephardi Chief Rabbi of #Jerusalem Shlomo Moshe Amar today. 

May we know good and safe days, and good health for all Israelis. Chag #Pesach Sameach! ",PresidentRuvi,86,16,Israel
2021-03-23 17:31:53+00:00,1374413603223183365,"Congratulations to our dear friends in #Greece on your 200th Independence Day! 🇮🇱🇬🇷

#Greece200years @PresidencyGR
@IsraelinGreece

",PresidentRuvi,751,20,Israel
2021-03-23 10:23:04+00:00,1374305690538369028,"Visiting the Central Elections Committee at the Knesset. A professional and dedicated system, working around the clock to provide solutions that ensure the right of every citizen to vote. Thanks to CEC Chairman Judge Uzi Fogelman and CEO Adv. Orly Ades. Israel trusts you. ",PresidentRuvi,77,5,Israel
2021-03-23 09:03:59+00:00,1374285786275844098,أعزاءي، للمرة الأخيرة، من قلب الرئيس إلى قلوبكم- رجاءً، أخرجوا وصوتوا. من أجل أولادنا، من أجل أحفادنا ومن أجلنا جميعا. ,PresidentRuvi,28,2,Israel
2021-03-23 08:40:10+00:00,1374279794175660035,"My dear ones, for the last time, and from the heart of the president to yours – please, go and vote. For our children and grandchildren, for all of us.
#israelelections #IsraElex4",PresidentRuvi,69,5,Israel
2021-03-23 08:39:32+00:00,1374279632913059840,"Thank you to the Central Elections Committee, headed by Judge Fogelman this time, which ensures the right of every Israeli to vote, and that the process will be carried out according to the regulations across the country.
#israelelections #IsraElex4",PresidentRuvi,27,2,Israel
2021-03-23 08:38:33+00:00,1374279389475696643,"With all the difficulties of the current situation, elections to the Knesset are the pinnacle of our democracy.
Four elections in two years erode public trust in the democratic process, but only you can influence. There is no other way.
#israelelections #IsraElex4",PresidentRuvi,16,1,Israel
2021-03-23 08:34:40+00:00,1374278411049340929,"For the last time as president, voting in the elections for the 24th Kneseset. Live broadcast from Yefe Nof school in Jerusalem. #IsraElex4 ",PresidentRuvi,139,9,Israel
2021-03-22 17:39:58+00:00,1374053252698890242,"A pleasure to welcome 13 ambassadors to the State of #Israel to Beit HaNasi today to get to know more about the presidency in Israel and our work here.
Beit HaNasi is the home of the Israeli people and is open to visitors from near and far. 
🇩🇴🇦🇺🇦🇴🇨🇴🇪🇹🇫🇮🇦🇹🇱🇻🇸🇻🇸🇰🇹🇭🇺🇾🇲🇲
#diplomacy ",PresidentRuvi,140,6,Israel
2021-03-21 09:57:33+00:00,1373574491503202305,"A first working meeting with UN Special Coordinator for the Middle East Peace Process @TWennesland.
We spoke about current challenges and I am sure that we will continue to work closely during his term to preserve regional stability. 
@UNSCO_MEPP ",PresidentRuvi,85,12,Israel
2021-03-17 18:10:26+00:00,1372248978251714560,"A proud moment at the end of a day of meetings in Vienna.
The Chief of Staff and I had a very moving video call this evening with our humanitarian mission to Equatorial Guinea that went to help casualties and save lives after the disaster there. 
We saluted them, with love. ",PresidentRuvi,125,4,Israel
2021-03-17 16:33:50+00:00,1372224667600232449,"We will remember and never forget.
Wreath-laying ceremony at the monument to Holocaust victims in Vienna’s Judenplatz

Credit: Amos Ben Gershom (GPO) ",PresidentRuvi,157,8,Israel
2021-03-17 16:17:51+00:00,1372220647594729479,"A working meeting with Austrian Chancellor @sebastiankurz.
I thanked him for his consistent support in the fight against antisemitism, and for Israel’s security and his work to promote Israeli-Austrian relations 🇮🇱🇦🇹

Credit - Amos Ben Gershom (GPO) ",PresidentRuvi,150,8,Israel
2021-03-17 15:05:47+00:00,1372202509016653828,"Continuing my visit to Europe, in Vienna for a series of meetings. Thank you to my friend President @vanderbellen for the moving reception ceremony 🇮🇱🇦🇹 ",PresidentRuvi,150,3,Israel
2021-03-17 14:35:37+00:00,1372194920711208964,"Thank you to the Austrian leadership for standing with Israel in the international arena, and for its commitment to #Israel  security. #Corona has taught us how important it is to work together when facing complex challenges. We must learn this lesson and implement it.",PresidentRuvi,19,0,Israel
2021-03-17 14:35:37+00:00,1372194918702194697,"The Abraham Accords are an opening for real regional change which we hope will also be reflected in relations with the Palestinians. Yet, Iran continues to strengthen. The international community must recognize this threat and take a strong line against it.",PresidentRuvi,23,2,Israel
2021-03-17 14:35:36+00:00,1372194916558835714,"#Austria's leaders are taking a clear stance against #antisemitism and are promoting #Holocaust remembrance and study, as well as protecting the Austrian Jewish community. We will continue to deepen the cooperation between us in all fields.",PresidentRuvi,9,1,Israel
2021-03-17 14:35:36+00:00,1372194913706729490,Joint statements to the press from Vienna with my friend President @vanderbellen: ,PresidentRuvi,56,2,Israel
2021-03-17 13:33:43+00:00,1372179342705446919,"Continuing my visit to Europe, in Vienna today for a series of meetings 🇦🇹🇮🇱
Thank you to my friend President @vanderbellen for the moving reception ceremony for @IDF Chief of Staff Kochavi and me. ",PresidentRuvi,119,3,Israel
2021-03-17 11:13:26+00:00,1372144037403181058,"Honoring the State of Israel in the sky. As we came in to land at Vienna, two fighters of the Austrian Air Force escorted our plane 🇦🇹🇮🇱 ",PresidentRuvi,619,18,Israel
2021-03-16 20:05:30+00:00,1371915547307282433,"Delighted to be the guest of President Steinmeier and his wife for an official dinner this evening at Schloss Bellevue.

Credit: Amos Ben Gershom (GPO) ",PresidentRuvi,183,4,Israel
2021-03-16 18:28:07+00:00,1371891042937663505,"Meeting with German foreign minister @HeikoMaas, talking about how to further strengthen relations between our countries and the need to stop discrimination against #Israel in international bodies. ",PresidentRuvi,134,7,Israel
2021-03-16 17:21:18+00:00,1371874226299355144,,PresidentRuvi,21,0,Israel
2021-03-16 15:24:13+00:00,1371844763834531848,"I stressed that we will not cease until our boys, held by Hamas, return home and asked for #Germany to continue its involvement in this issue that is so close to our hearts.",PresidentRuvi,44,1,Israel
2021-03-16 15:24:13+00:00,1371844761049575439,"We trust our #European friends to stand with us against Iran's nuclear program and its support for terrorist organizations and against the misuse of the ICC against our soldiers and citizens, for us and for generations to come.",PresidentRuvi,30,8,Israel
2021-03-16 15:24:12+00:00,1371844758658748430,#Germany today exhibits an extraordinary commitment to #Israel 's security and to preserving stability in the Middle East.,PresidentRuvi,16,1,Israel
2021-03-16 15:24:11+00:00,1371844755072618506,"My remarks today in #Berlin, in joint statements to the press with my friend President Steinmeier 🇮🇱🇩🇪
@IsraelinGermany ",PresidentRuvi,107,2,Israel
2021-03-16 15:06:13+00:00,1371840231268306949,"Meeting my friend President Steinmeier, including a comprehensive briefing on regional security from @IDF Chief of Staff.
Germany’s commitment to Israel’s security, regional stability and fighting antisemitism are very important to us. ",PresidentRuvi,90,3,Israel
2021-03-16 10:11:47+00:00,1371766134412828681,"Official reception ceremony on arrival in Berlin 🇩🇪🇮🇱

Credit: Amos Ben Gershom (GPO) ",PresidentRuvi,193,1,Israel
2021-03-16 05:24:02+00:00,1371693722258259970,"Taking off for a diplomatic visit to Berlin, Vienna and Paris, at the invitation of the presidents of Germany, France and Austria. 🇮🇱🇩🇪🇦🇹🇫🇷

Credit; Amos Ben Gershom (GPO)

@IsraelinGermany @vanderbellen @IsraelinAustria @EmmanuelMacron @IsraelenFrance ",PresidentRuvi,225,14,Israel
2021-03-11 14:04:10+00:00,1370012677641277440,"Dedicating the new student dorms at Ma'ale Shahak today in Dimona, named after former IDF Chief of Staff and minister Amnon Lipkin-Shahak ז""ל.
I have worked with Ayalim and Negev and Galilee Development for many years and now is the time to say thank you. You make us so proud! ",PresidentRuvi,47,4,Israel
2021-03-09 19:06:04+00:00,1369363877587259404,"I have been following with concern the issue of selling collections from the Museum of Islamic Art including items whose value is greater and more significant than their monetary value.
My heartfelt thanks to all those who helped arrive at the hoped-for result we are seeing now. ",PresidentRuvi,53,17,Israel
2021-03-09 13:57:14+00:00,1369286158467932171,"Back to sport, gradually and responsibly, is back to life. 
Visiting Wingate Institute today with the Minister of Culture and Sport as part of Israeli Hope in Sport, I met our Olympic hopes in Judo and synchronised swimming and wished them luck for #Tokyo2021 ",PresidentRuvi,78,2,Israel
2021-03-09 11:28:05+00:00,1369248623066759171,"We must be on guard, strong and united, to ensure that everyone has a place in the complex fabric of our society. This is the way Israel was created, and this is how we will ensure national resilience. ",PresidentRuvi,27,1,Israel
2021-03-09 11:27:58+00:00,1369248592091811840,"Protecting partnership is this generation's task, and @IDF plays an important part in it. 
Meeting the senior command of the Intelligence Branch today, I asked ""How diverse are your units? Do your people reflect Israel's population? And what are you doing to encourage diversity?"" ",PresidentRuvi,38,4,Israel
2021-03-08 12:43:28+00:00,1368905204834463744,"Marking #InternationalWomensDay at Beit HaNasi with the opening of ""Moon Reflected on Asphalt"" an exhibition from ""Studio of Her Own"", a joint project of Israeli women artists from across our society. 
Your love of creativity and wonderful art is soul food for us all. ",PresidentRuvi,64,7,Israel
2021-03-07 17:27:28+00:00,1368614287757950985,"The sound of enthusiastic applause returned to Beit HaNasi this evening for the first time since the outbreak of #coronavirus, marking #InternationalWomensDay with @HabimaTheatre and Haifa Theater's tribute to women in theater: ""Women Create Israeli Theater""
The show must go on! ",PresidentRuvi,39,3,Israel
