Datetime,Tweet Id,Text,Username,Like Count,Retweet Count,Country
2021-03-31 02:51:30+00:00,1377091152046743552,"Over 82,000 disaster payments have now been paid out by the Federal Government to support Australians impacted by the floods, totalling over $102m. In most cases these payments of $1000 for adults and $400 for children have been paid within an hour. To make a claim ☎️ 180 22 66.",ScottMorrisonMP,692,95,Australia
2021-03-31 02:33:21+00:00,1377086586450370560,"Happy 100th birthday to our amazing @AusAirForce.

Today we honour all those who have served in the RAAF, their courage, skill, dedication and character. 

And we remember the more than 11,000 members who made the ultimate sacrifice for their country.

Thank you for your service. ",ScottMorrisonMP,608,76,Australia
2021-03-30 04:25:14+00:00,1376752352732962820,"Over 69,000 disaster payments have now been paid out by our Government to support Australians impacted by the floods, totalling $86.9 million. In most cases these payments of $1000 for adults and $400 for children have been paid within an hour. To make a claim call ☎️ 180 22 66. ",ScottMorrisonMP,462,89,Australia
2021-03-28 00:37:07+00:00,1375970169474875399,"Wishing our Hindu Australian community, my good friend @narendramodi and all the people who are celebrating it, a happy and colourful Holi!

होली की शुभकामनाएँ। ",ScottMorrisonMP,13736,3261,Australia
2021-03-27 01:04:42+00:00,1375614724969140224,Australia stands with you Boris 🇦🇺🇬🇧 ,ScottMorrisonMP,12237,2250,Australia
2021-03-25 04:54:02+00:00,1374947659706851328,"Awesome kids and an awesome team. Great to meet you all today, keep up the amazing work! ",ScottMorrisonMP,533,52,Australia
2021-03-25 04:12:46+00:00,1374937278473113605,"Happy Independence Day, Greece! As you celebrate 200 years of an incredible journey, the Greek Australian community will be proudly joining your celebrations 🇬🇷🇦🇺

Χαίρε, ω χαίρε, Ελευθεριά! 
@PrimeministerGR @PresidencyGR",ScottMorrisonMP,1746,255,Australia
2021-03-24 11:05:32+00:00,1374678765368795137,"More heartbreaking news, this time from Queensland. My thoughts are with the man’s family and community in this time of such devastating loss. ",ScottMorrisonMP,468,72,Australia
2021-03-24 04:41:04+00:00,1374582011780722688,"Absolutely devastating news. My deepest condolences to the family at this difficult time.

While the rain has mostly eased for now, this is an important reminder the danger has not. Please, everyone, stay safe. ",ScottMorrisonMP,598,67,Australia
2021-03-23 21:57:25+00:00,1374480429655289869,"10,287 payments of $1000 for adults and $400 for children, totalling $13.5m, have been made by the Federal Government to date to support people affected by flooding. In most cases those payments are being paid within an hour of making a claim. To make a claim call 180 22 66. ",ScottMorrisonMP,388,91,Australia
2021-03-23 05:46:14+00:00,1374236024184836096,"This is why you should never go into flood waters. If it's flooded, forget it. 

Thankfully, this driver was able to get out safely before the car was swept away. ",ScottMorrisonMP,1252,251,Australia
2021-03-19 07:55:28+00:00,1372818991626866690,A very productive meeting today. Thanks for your feedback on the vaccine rollout so far and we will continue to support you as we move to this next crucial phase. ,ScottMorrisonMP,573,97,Australia
2021-03-17 04:15:05+00:00,1372038755624751104,"Australia is working with Papua New Guinea on a comprehensive package to support their Government's response to a concerning spike in #COVID19 cases. By helping them, we're not only helping our Pacific family, we're keeping Australians safe. 
",ScottMorrisonMP,961,118,Australia
2021-03-14 07:10:01+00:00,1370995616197734401,"Excellent discussions with PM @narendramodi, PM @sugawitter and @POTUS Joe Biden about our shared vision of a free, open, prosperous and resilient Indo-Pacific region and how we can continue to contribute to that as like-minded liberal democracies.

",ScottMorrisonMP,2596,434,Australia
2021-03-14 03:29:13+00:00,1370940052121944064,"The Australian Government is ramping up its campaign against misinformation on #COVID19 vaccines. New material from @healthgovau will provide trusted, evidence-based information for everyone in Australia and respond to misinformation. Find out more ⬇️

",ScottMorrisonMP,341,66,Australia
2021-03-14 02:12:15+00:00,1370920681446146048,"Got my second #COVID19 vaccine jab today along with the delightful Jane Malysiak, the first person in Australia to be vaccinated. 

A reminder, vaccinations are free and voluntary for everyone in Australia and our own medical experts have found them to be safe and effective. ",ScottMorrisonMP,1785,175,Australia
2021-03-12 22:41:44+00:00,1370505314030612481,"A huge honour and recognition for Australia. Well done to @MathiasCormann on being elected as the next Secretary-General of the @OECD, one of the world’s most important international economic organisations. He’ll do an outstanding job ➡️ ",ScottMorrisonMP,1360,180,Australia
2021-03-12 14:48:21+00:00,1370386185483210758,"An historic meeting for India, the United States, Japan and Australia - the first ever leaders’ meeting of the Quad. 

For us, this meeting is about how we keep Australia and the Indo-Pacific region we live in safe, stable and secure. 

🇮🇳 🇺🇸 🇯🇵 🇦🇺 ",ScottMorrisonMP,18923,3194,Australia
2021-03-10 03:10:51+00:00,1369485875143307269,"1.3 million doses of #COVID19 vaccines are now in Australia, with more doses of the AstraZeneca and Pfizer vaccines arriving in recent days.

These will be rolled out over coming weeks, with the locally produced AstraZeneca vaccine on track to be ready by the week of 22 March. ",ScottMorrisonMP,1051,150,Australia
2021-03-09 06:11:49+00:00,1369169029848465409,This is a welcome step in the right direction so that more people can pay their respects. ,ScottMorrisonMP,873,96,Australia
2021-03-03 01:39:34+00:00,1366926187872718848,"A pleasure to chat with @VP Kamala Harris. We’ll strengthen our very strong alliance even further, including in security, trade, climate change, &amp; energy tech. We discussed responding to #COVID19, promoting a free &amp; open Indo-Pacific &amp; working with our ASEAN and Pacific partners. ",ScottMorrisonMP,884,143,Australia
2021-03-03 01:03:36+00:00,1366917136539521028,"Good news on the jobs front as well this week with job adverts hitting the highest level since October 2018. An additional 20,500 jobs are being advertised on average a month compared to pre-pandemic levels. ",ScottMorrisonMP,350,47,Australia
2021-03-03 00:59:58+00:00,1366916224374906880,"Australia’s comeback from #COVID19 continues to gather pace. Our economy grew 3.1% in the fourth quarter of 2020, which is better than all the G7 countries and the OECD average. Our Government is continuing to focus on creating jobs and driving our recovery from this pandemic.",ScottMorrisonMP,1371,197,Australia
2021-03-03 00:11:17+00:00,1366903971848151046,Australian ingenuity at its best. The first Australian-designed military aircraft to be built here in over 50 years has completed its first flight in SA. We’re backing this program in with a further $115m investment. It's supporting Australian jobs and our defence industry. ,ScottMorrisonMP,710,118,Australia
2021-02-25 20:14:39+00:00,1365032483138363396,"Vale Grand Chief Sir Michael Somare, founding father of democratic and independent #PNG and a great friend to Australia. My heartfelt condolences to his family, Prime Minister Marape and the people of PNG. Australians stand with you in this time of sadness. May he rest in peace.",ScottMorrisonMP,725,145,Australia
2021-02-25 08:54:48+00:00,1364861392906428416,"Thanks to my good friend PM @sugawitter for a great call. We discussed strengthening a free &amp; open Indo-Pacific, cooperation with ASEAN &amp; through the Quad, energy technology partnerships &amp; our new digital platform laws. I wished him all the best for #TokyoOlympics ",ScottMorrisonMP,1333,275,Australia
2021-02-23 22:17:11+00:00,1364338541128417282,"Another good call with PM @JustinTrudeau. We also discussed Australia’s media bargaining code, developments in the Indo-Pacific incl. ASEAN’s central role in the region, &amp; Australia &amp; Canada’s strong collaboration as like-minded liberal democracies. Great to chat again Justin. ",ScottMorrisonMP,504,86,Australia
2021-02-22 06:02:55+00:00,1363730971808292867,"Australia’s comeback from this #COVID19 pandemic continues to gather pace, with more positive news on the economic front today. Last week, official statistics showed 29,100 new jobs were created in January, meaning 93% of jobs lost to COVID have now come back. ",ScottMorrisonMP,649,82,Australia
2021-02-21 07:00:59+00:00,1363383198894288896,"Pleased to get my #COVID19 vaccine today along with Australia’s CMO Professor Paul Kelly to give further confidence to Australians these vaccines, which have been tested and approved by our medical experts, are safe &amp; effective. ",ScottMorrisonMP,870,95,Australia
2021-02-21 07:00:57+00:00,1363383187620073481,"Our #COVID19 vaccination program is underway! These are the 1st Australians to get vaccinated ahead of the rollout getting underway tomorrow. Our first priority is to protect our most vulnerable &amp; frontline workers, who are protecting all of us. Getting vaccinated does just that. ",ScottMorrisonMP,1007,125,Australia
2021-02-21 02:45:08+00:00,1363318810833424384,"Meet Jane: the first person in Australia to receive a #COVID19 vaccine. Today is a landmark day in our comeback from this pandemic. 

Vaccinations are free and voluntary for everyone in Australia and our own medical experts have found these vaccines to be safe and effective. ",ScottMorrisonMP,2710,333,Australia
2021-02-19 07:49:16+00:00,1362670572103110661,"It's the 79th anniversary of the Bombing of Darwin, which saw over 200 people killed and many more wounded. The Second World War had reached our shores in a surprise attack. Today we pay tribute to those who served our nation &amp; remember the terrible loss &amp; sacrifice #LestWeForget ",ScottMorrisonMP,462,72,Australia
2021-02-19 07:43:57+00:00,1362669237186162690,"Touch down! Congratulations to Abigail Allwood, the first woman — and Australian — to be a principal investigator on a Mars mission as well as to the team in Canberra who helped track the landing and all the others involved in making this happen. ",ScottMorrisonMP,695,92,Australia
2021-02-19 07:04:32+00:00,1362659316419862529,"Great to talk to my good friend PM @narendramodi again. As Comprehensive Strategic Partners, we can work together on common challenges incl #COVID19, the circular economy, oceans &amp; an open, secure and prosperous Indo-Pacific. We also discussed progress of our media platform bill. ",ScottMorrisonMP,11554,1744,Australia
2021-02-18 02:26:34+00:00,1362226976421859328,"Australia’s comeback from #COVID19 continues with more good news on the jobs front today. 29,100 new jobs were created last month. That means 93% of jobs lost to COVID have now come back. 

Our Government continues to focus on driving our economic recovery from this pandemic. ",ScottMorrisonMP,1220,142,Australia
2021-02-16 10:10:09+00:00,1361618863671054342,An important step forward in our fight against this global #COVID19 pandemic today. Safety is our number one priority and Australia’s own medical experts have carefully made their assessments before giving approval to this vaccine. ,ScottMorrisonMP,603,102,Australia
2021-02-16 05:26:42+00:00,1361547532757651456,"Today the AstraZeneca vaccine for #COVID19 has been approved for use in Australia, the second vaccine to receive such approval from our own world-class independent safety regulator, the TGA, having been found to be safe and effective. Read more 👉  ",ScottMorrisonMP,1117,174,Australia
2021-02-15 03:10:59+00:00,1361150988602671104,"The vaccine has landed and we’re stepping up our fight against the pandemic. More than 142,000 doses of the Pfizer/BioNTech vaccine have just arrived at Sydney Airport in a major milestone in Australia’s response to #COVID19. Read more: ",ScottMorrisonMP,2073,264,Australia
2021-02-15 01:57:14+00:00,1361132428954247170,"Powerful stories with important messages.

Today I met with survivors of the Stolen Generations, to hear their stories as we mark the 13th anniversary of the Apology to Australia’s Indigenous Peoples.

Thank you for your honesty and bravery, an honour to meet you all. ",ScottMorrisonMP,403,62,Australia
2021-02-14 01:45:46+00:00,1360767157617893376,"Congratulations to Prime Minister Draghi. Australia and Italy are great friends with shared values and interests. I look forward to working closely with you again, following on from our time in the G20, when the now PM was running the European Central Bank 🇦🇺🇮🇹  ",ScottMorrisonMP,407,61,Australia
2021-02-12 20:59:48+00:00,1360332801204101120,Congratulations Team Liberal SA. ,ScottMorrisonMP,329,41,Australia
2021-02-08 02:38:17+00:00,1358606044339970048,"We join our American friends in paying tribute to Secretary George Shultz. A consummate diplomat and strategist who played a pivotal role in ending the Cold War, a master of statecraft, and a true friend of Australia.",ScottMorrisonMP,608,75,Australia
2021-02-07 23:01:45+00:00,1358551554370904065,Devastating news for India and @narendramodi following flash flooding in Uttarakhand. Australia stands with one of its closest friends at this very difficult time. ,ScottMorrisonMP,11253,1572,Australia
2021-02-04 04:04:07+00:00,1357178094889574401,"Great to speak to US President Joe Biden again today. We discussed our many shared interests in the Indo-Pacific and agreed the importance of technology partnerships in reducing emissions towards net zero and driving economic growth, and keen to meet at an early opportunity 🇦🇺🇺🇸 ",ScottMorrisonMP,1958,221,Australia
2021-02-03 22:51:37+00:00,1357099451471384577,Our #HomeBuilder program has helped drive housing approvals in Australia to the highest level on record and is a key part of our comeback from this #COVID19 pandemic. It’s creating jobs and helping young Australians get into their first home. ,ScottMorrisonMP,154,40,Australia
2021-02-03 22:25:51+00:00,1357092965429116930,"Excellent meeting virtually with our Pacific family of leaders. Congrats to my dear friend, former Cook Islands PM Henry Puna on his new role as SG, he’ll do a great job, &amp; thank you to outgoing SG Dame Meg Taylor for her leadership, especially in these difficult #COVID19 times. ",ScottMorrisonMP,158,39,Australia
2021-02-03 22:20:39+00:00,1357091656084779009,"This is a well worth a watch. Professor Brendan Murphy, who heads the Government's expert advisory group on #COVID19 vaccines, clears up some of the misinformation about #COVID19 vaccines and treatments. ",ScottMorrisonMP,290,79,Australia
2021-02-03 22:13:53+00:00,1357089956611547137,"Thank you once again to the people of Victoria for your patience and cooperation. I’m confident you'll get on top of this very quickly. Victorians know what to do. If you have symptoms, get tested and isolate until you get the results.",ScottMorrisonMP,1420,120,Australia
