Datetime,Tweet Id,Text,Username,Like Count,Retweet Count,Country
2021-04-02 04:32:34+00:00,1377841361618079745,"For people with autism, access to work on an equal basis requires creating an enabling environment &amp; reasonable accommodation.

#COVID19 recovery is an opportunity to rethink our systems to ensure that people with autism can realize their full potential. #WorldAutismAwarenessDay",antonioguterres,136,40,UN
2021-04-01 19:10:37+00:00,1377699941808803845,"I spoke to @VICENews on the need for reinvigorated, inclusive multilateralism as the only way we will be able to tackle the greatest challenges our world is facing - from #COVID19 to the fights against racism and the climate crisis. ",antonioguterres,444,162,UN
2021-03-31 23:37:00+00:00,1377404591596130306,"I'm proud to receive the International @Four_Freedoms Award on behalf of my United Nations colleagues.

We face the most serious international tests since the @UN was created. To address them, we must keep pushing, building &amp; working for a better world. ",antonioguterres,1200,322,UN
2021-03-31 19:05:35+00:00,1377336287150047232,"I spoke with @Monocle24's ""Foreign Desk"" about why I believe 2021 is the year we start to heal &amp; get the planet back on track, with people at the centre of our efforts.

",antonioguterres,569,146,UN
2021-03-31 03:50:00+00:00,1377105873206616070,"The global economic response to #COVID19 has been fragmented, limited and late.

Developing countries urgently need access to additional financial support to respond to the pandemic and invest in a sustainable recovery. ",antonioguterres,401,138,UN
2021-03-30 22:50:00+00:00,1377030375881334784,"Like millions of women worldwide, Peaches Dinnoo of Trinidad and Tobago has continued her work as a frontline worker amid #COVID19, while raising her children at home.

To rebuild better, we must ensure women have an equal voice in all aspects of pandemic response. ",antonioguterres,358,85,UN
2021-03-30 19:47:25+00:00,1376984426459103232,"The war in Syria is not only Syria’s war.

Ending it, and the tremendous suffering it continues to cause, is a collective responsibility.

We must all commit fully to achieving a solution that meets the legitimate aspirations of all Syrians.  ",antonioguterres,777,263,UN
2021-03-30 01:44:00+00:00,1376711776478322688,"For millions of Syrians, the humanitarian aid &amp; protection brought by the @UN &amp; partners is their only source of survival.

But the situation keeps getting worse, not better.

Ending the conflict &amp; suffering is our joint responsibility. ",antonioguterres,883,286,UN
2021-03-29 21:38:58+00:00,1376650111456063493,"The #COVID19 pandemic has demonstrated that we are not prepared for the future.

We face unacceptable risks and are vulnerable to all kinds of threats.

We will continue to pay a high price until we prioritize global safety, solidarity and resilience.

",antonioguterres,1115,379,UN
2021-03-29 17:50:00+00:00,1376592490401304577,"The world cannot walk head on, eyes wide open, into a debt crisis that is foreseeable &amp; preventable.

Developing countries urgently need access to additional financial support to respond to the #COVID19 crisis &amp; invest in a sustainable, inclusive recovery.  ",antonioguterres,812,278,UN
2021-03-29 15:32:06+00:00,1376557789510778882,"We face the spectre of a debt crisis &amp; a divided world.

The global community must urgently provide support for developing countries to respond to the pandemic &amp; invest in a more resilient future.

My joint appeal with @JustinTrudeau &amp; @AndrewHolnessJM:  ",antonioguterres,480,183,UN
2021-03-29 14:10:26+00:00,1376537237698019331,"The movement for gender equality is under attack.

Regressive laws are back, violence against women is increasing, and the pandemic has erased hard-fought gains.

It's time for bold commitments &amp; investments that will help achieve equal rights for all.
",antonioguterres,858,386,UN
2021-03-29 04:20:00+00:00,1376388647285497859,"Since the onset of the pandemic, the world has been teetering on the brink of a global debt crisis.

The international community has a responsibility to come together and cooperate to support a sustainable global recovery.
",antonioguterres,803,234,UN
2021-03-28 23:43:35+00:00,1376319086125273089,"Over 34 million people are one step away from starvation across the world.

Urgent, increased action is needed to stop hunger from rising in 20 countries. We have no time to lose.  ",antonioguterres,811,364,UN
2021-03-28 11:41:00+00:00,1376137240674467842,"Peacekeeping is one of the @UN’s most effective peace &amp; security tools.

As part of our #A4P initiative, we’ve improved personnel safety &amp; mission responsiveness, and increased #WomenInPeacekeeping.

Together, we'll continue making @UNPeacekeeping more impactful. ",antonioguterres,923,360,UN
